	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
0	1.0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0.92	0.05	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0.04	0.90	0.07	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0.05	0.86	0.09	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0.07	0.82	0.09	0.04	0	0	0	0	0	0	0	0
5	0	0	0	0	0.09	0.82	0.07	0.04	0	0	0	0	0	0	0
6	0	0	0	0	0	0.09	0.78	0.08	0.05	0	0	0	0	0	0
7	0	0	0	0	0	0	0.07	0.76	0.10	0.05	0	0	0	0	0
8	0	0	0	0	0	0	0.04	0.08	0.70	0.11	0.06	0.03	0	0	0
9	0	0	0	0	0	0	0	0.04	0.10	0.68	0.12	0.07	0.04	0	0
10	0	0	0	0	0	0	0	0	0.05	0.11	0.64	0.10	0.07	0.04	0.03
11	0	0	0	0	0	0	0	0	0	0.05	0.12	0.60	0.11	0.08	0.05
12	0	0	0	0	0	0	0	0	0	0	0.06	0.10	0.56	0.12	0.08
13	0	0	0	0	0	0	0	0	0	0	0	0.10	0.22	0.76	0.84
