Area	SubArea	Latitude	Longitude
00	03	67.25000	11.50000
00	04	67.33333	12.33333
00	05	67.22556	13.53719
00	10	67.82298	13.41423
01	01	67.50000	41.00000
01	03	67.50000	43.50000
01	04	67.50000	47.50000
01	05	68.50000	41.00000
02	07	69.25000	35.50000
02	08	69.25000	36.50000
02	09	69.25000	37.50000
02	10	69.25000	38.50000
02	11	69.25000	39.50000
03	20	71.75000	30.50000
03	21	71.75000	31.50000
03	22	71.75000	32.50000
03	23	71.75000	26.50000
03	24	70.46517	25.53489
03	25	70.49274	26.79157
03	26	69.87340	32.51611
03		70.81682	29.34360
