CovariateID	Source	Definition
Trawl	Biotic	3159,3158,3157,3100,3154,3155,3132,3127,3122,3131,3128,3103,3183,3135,3151,3149,3187,3148,3152,3141,3163,3162,3121,3136,3161,3126,3139,3137,3173,3170,3130,3210,3267,3213,3265,3230,3200,3212,3287,3252,3264,3266,3260,3272,3412,3410,3411,3400,3500,3530,3563,3510,3523,3580,3532,3590
Trawl	Landing	55,51,52,57,56,54,50,53,58,59
D.Seine	Biotic	3600,3601,3714
D.Seine	Landing	61
Seine	Biotic	3710,3700,3712,3711,3731,3713,3720,3714
Seine	Landing	11,12,14,10,15
L.Line	Biotic	5110,5121,5101,5141,5122,5120,5100
L.Line	Landing	31,35,32
Jig	Biotic	5211,5212,5210
Jig	Landing	33
Gillnet	Biotic	4000,4144,4140,4143,4123,4115,4182,4114,4149,4125,4126,4183,4128,4142,4110,4141,4124,4127,4113,4134,4100,4180,4145,4121,4164,4129,4119,4146
Gillnet	Landing	21,20,22
Other	Biotic	4311,5363,5309,5366,5307,5335,6600,6685,5360,5305,5362,5365,5364,5300,5231,5200,5230
Other	Landing	42,84,44,71,34,43,30,90,41,85,73,80,81,83,70,40,45,80,81,82,99
