Area	Location	Latitude	Longitude
00	03	67.25000	 11.50000
00	04	67.33333	 12.33333
00	05	67.22556	 13.53719
00	10	67.82298	 13.41423
00	11	67.75442	 14.53782
00	37	68.34791	 17.20863
00	38	68.01399	 16.33230
00	44	68.27428	 15.61145
00	45	67.93413	 15.57921
00	46	68.15924	 14.56579
00	47	67.94444	 14.15556
00	48	68.08439	 13.71385
00	49	67.64251	 12.74275
00	50	67.61111	 13.66667
00	51	67.53177	 15.72181
00	52	67.16667	 12.66667
00	53	67.19701	 14.43561
00	54	67.05744	 15.59004
00		67.62873	 14.67456
01	01	67.50000	 41.00000
01	03	67.50000	 43.50000
01	04	67.50000	 47.50000
01	05	68.50000	 41.00000
01	06	68.50000	 43.00000
01	07	68.50000	 45.00000
01	08	68.50000	 47.00000
01	09	68.50000	 49.00000
01	10	68.50000	 51.00000
01	11	69.50000	 41.00000
01	12	69.50000	 43.00000
01	13	69.50000	 45.00000
01	14	69.50000	 47.00000
01	15	69.50000	 49.00000
01	16	69.50000	 51.00000
01	17	69.50000	 53.00000
01	18	69.50000	 55.00000
01	19	69.50000	 57.00000
01	20	69.50000	 59.00000
01	21	68.50000	 59.00000
01	22	68.50000	 57.00000
01	23	68.50000	 55.00000
01	24	68.50000	 53.00000
01		68.70000	 49.00000
02	01	68.25000	 39.08333
02	02	68.75000	 37.25000
02	03	68.75000	 38.50000
02	04	68.75000	 39.50000
02	05	69.16667	 33.25000
02	06	69.25000	 34.50000
02	07	69.25000	 35.50000
02	08	69.25000	 36.50000
02	09	69.25000	 37.50000
02	10	69.25000	 38.50000
02	11	69.25000	 39.50000
02	12	69.70787	 33.17959
02	13	69.75000	 34.50000
02	14	69.75000	 35.50000
02	15	69.75000	 36.50000
02	16	69.75000	 37.50000
02	17	69.75000	 38.50000
02	18	69.75000	 39.50000
02		69.24640	 36.76266
03	01	69.76997	 31.47496
03	02	69.93406	 29.74327
03	03	70.25000	 31.50000
03	04	70.25000	 32.50000
03	05	70.41512	 28.06428
03	06	70.64198	 29.42593
03	07	70.66667	 30.50000
03	08	70.75000	 31.50000
03	09	70.75000	 32.50000
03	10	71.23915	 26.46578
03	11	71.21473	 27.51996
03	12	71.23613	 28.48711
03	13	71.25000	 29.50000
03	14	71.25000	 30.50000
03	15	71.25000	 31.50000
03	16	71.25000	 32.50000
03	17	71.75000	 27.50000
03	18	71.75000	 28.50000
03	19	71.75000	 29.50000
03	20	71.75000	 30.50000
03	21	71.75000	 31.50000
03	22	71.75000	 32.50000
03	23	71.75000	 26.50000
03	24	70.46517	 25.53489
03	25	70.49274	 26.79157
03	26	69.87340	 32.51611
03		70.81682	 29.34360
04	01	70.25000	 18.50000
04	02	70.25000	 19.50000
04	03	70.26784	 20.45130
04	04	70.33232	 21.52462
04	05	70.33884	 22.46289
04	06	70.75000	 16.50000
04	07	70.75000	 17.50000
04	08	70.75000	 18.50000
04	09	70.75000	 19.50000
04	10	70.75000	 20.50000
04	11	70.73675	 21.54827
04	12	70.78740	 22.55833
04	13	70.73790	 23.48981
04	14	70.65311	 24.42041
04	15	70.11048	 23.49366
04	16	71.25000	 15.50000
04	17	71.25000	 16.50000
04	18	71.25000	 17.50000
04	19	71.25000	 18.50000
04	20	71.25000	 19.50000
04	21	71.25000	 20.50000
04	22	71.25000	 21.50000
04	23	71.25000	 22.50000
04	24	71.25000	 23.50000
04	25	71.23199	 24.52052
04	26	71.13554	 25.37756
04	27	69.83414	 21.79904
04	28	69.64928	 19.89177
04	29	69.51502	 20.85193
04		70.64731	 20.84750
05	01	67.25000	  9.50000
05	02	67.25000	 10.50000
05	06	67.75000	  9.50000
05	07	67.75000	 10.50000
05	08	67.75000	 11.50000
05	09	67.80045	 12.38605
05	12	68.25000	 10.50000
05	13	68.25000	 11.50000
05	14	68.25000	 12.50000
05	15	68.29821	 13.44548
05	16	68.40364	 14.57428
05	17	68.75000	 11.50000
05	18	68.75000	 12.50000
05	19	68.75000	 13.50000
05	20	68.75918	 14.56401
05	21	69.25000	 12.50000
05	22	69.25000	 13.50000
05	23	69.25000	 14.50000
05	24	69.26583	 15.47374
05	25	69.26902	 16.61634
05	26	69.75000	 13.50000
05	27	69.75000	 14.50000
05	28	69.75000	 15.50000
05	29	69.75000	 16.50000
05	30	69.74206	 17.49100
05	31	69.80871	 18.45225
05	32	70.25000	 14.50000
05	33	70.25000	 15.50000
05	34	70.25000	 16.50000
05	35	70.25000	 17.50000
05	36	70.75000	 15.50000
05	39	69.54236	 19.33211
05	40	69.26688	 18.65184
05	41	68.91069	 17.42042
05	42	68.79785	 16.01984
05	43	68.73656	 15.40196
05		69.02192	 14.44817
06	01	64.25000	  4.50000
06	02	64.25000	  5.50000
06	03	64.25000	  6.50000
06	04	64.25000	  7.50000
06	05	64.25000	  8.50000
06	06	64.22308	  9.55392
06	07	64.75000	  5.50000
06	08	64.75000	  6.50000
06	09	64.75000	  7.50000
06	10	64.75000	  8.50000
06	11	64.75000	  9.50000
06	12	64.74619	 10.50548
06	13	65.25000	  6.50000
06	14	65.25000	  7.50000
06	15	65.25000	  8.50000
06	16	65.25000	  9.50000
06	17	65.25000	 10.50000
06	18	65.22203	 11.56914
06	19	65.75000	  7.50000
06	20	65.75000	  8.50000
06	21	65.75000	  9.50000
06	22	65.75000	 10.50000
06	23	65.75000	 11.50000
06	24	66.25000	  8.50000
06	25	66.25000	  9.50000
06	26	66.25000	 10.50000
06	27	66.25000	 11.50000
06	28	66.75000	  9.50000
06	29	66.75000	 10.50000
06	30	66.75000	 11.50000
06	31	66.74865	 12.50313
06	32	66.70542	 13.51657
06	33	66.25914	 12.68927
06	34	66.21768	 13.76496
06	35	65.69263	 12.65937
06	36	65.15937	 12.59274
06	37	64.58869	 11.77463
06	38	64.25083	 10.50072
06		65.37965	  9.65035
07	05	62.25000	  4.50000
07	06	62.75000	  5.50000
07	07	63.24359	  7.49065
07	08	63.76938	  8.48140
07	13	62.25000	  3.50000
07	14	62.75000	  3.50000
07	15	62.75000	  4.50000
07	16	63.25000	  3.50000
07	17	63.25000	  4.50000
07	18	63.25000	  5.50000
07	19	63.25000	  6.50000
07	20	63.75000	  3.50000
07	21	63.75000	  4.50000
07	22	63.75000	  5.50000
07	23	63.75000	  6.50000
07	24	63.75000	  7.50000
07	25	63.78643	  9.61139
07	26	63.34360	 10.33143
07	27	63.85145	 11.06946
07	28	63.31354	  8.92730
07	29	63.00278	  8.59176
07	30	62.83680	  8.03486
07	31	62.76533	  6.56240
07	32	62.58036	  7.65679
07	33	62.21811	  5.59752
07	34	62.44167	  6.21667
07	35	62.25989	  6.76312
07		63.13230	  6.60818
08	01	58.25000	  5.50000
08	02	58.72558	  5.43607
08	03	59.25000	  4.50000
08	04	59.75000	  4.50000
08	05	57.75000	  3.50000
08	06	57.75000	  4.50000
08	07	57.75000	  5.50000
08	08	57.75000	  6.50000
08	09	58.25000	  3.50000
08	10	58.25000	  4.50000
08	11	58.75000	  3.50000
08	12	58.75000	  4.50000
08	13	59.25000	  3.50000
08	14	59.75000	  3.50000
08	15	59.73966	  5.22302
08	16	59.23466	  5.37624
08	17	58.25116	  6.56095
08	18	58.92551	  6.20790
08	19	59.38050	  6.23771
08	20	59.75166	  6.01570
08	21	60.21864	  6.50397
08	22	58.08194	  7.11043
08	51	57.75000	  2.50000
08	52	58.25000	  2.50000
08	53	58.75000	  2.50000
08	54	59.25000	  2.50000
08	55	59.75000	  2.50000
08	56	57.67004	  7.30250
08		58.81161	  4.59718
09	01	56.13807	 11.59056
09	02	56.25000	 12.50000
09	03	56.75000	 10.50000
09	04	56.75000	 11.50000
09	05	56.75000	 12.50000
09	07	57.25000	 11.50000
09	08	57.75000	  8.50000
09	09	57.75000	  9.50000
09	12	58.26584	  8.49357
09	13	58.25000	  9.50000
09	14	58.25000	 10.50000
09	15	58.25000	 11.50000
09	16	58.75000	  9.50000
09	17	58.75000	 10.50000
09	18	58.75000	 11.50000
09	19	59.25000	  9.50000
09	20	59.25000	 10.50000
09	21	59.25000	 11.50000
09	22	59.75000	 10.50000
09	26	57.25000	  9.50000
09	27	57.25000	 10.50000
09	28	57.25000	 12.50000
09	29	57.30618	  8.63051
09	30	57.81892	  7.67022
09	31	57.81712	 10.45405
09	32	57.58912	 10.61012
09	33	57.77771	 11.53405
09	34	57.55312	 11.25808
09	35	57.48282	  7.96936
09	36	58.11099	  7.53743
09		57.85579	 10.51751
10	01	70.50000	 35.00000
10	02	70.50000	 37.00000
10	03	70.50000	 39.00000
10	04	71.50000	 35.00000
10	05	71.50000	 37.00000
10	06	71.50000	 39.00000
10	07	71.50000	 33.50000
10	08	70.50000	 33.50000
10		71.00000	 36.50000
11	01	70.50000	 41.00000
11	02	70.50000	 43.00000
11	03	70.50000	 45.00000
11	04	70.50000	 47.00000
11	05	70.50000	 49.00000
11	06	70.50000	 51.00000
11	07	70.50000	 53.00000
11	08	71.50000	 41.00000
11	09	71.50000	 43.00000
11	10	71.50000	 45.00000
11	11	71.50000	 47.00000
11	12	71.50000	 49.00000
11	13	71.50000	 51.00000
11	14	71.50000	 53.00000
11	15	70.50000	 55.00000
11	16	70.50000	 57.00000
11		70.93750	 48.12500
12	01	71.75000	 16.00000
12	02	71.75000	 18.00000
12	03	71.75000	 20.00000
12	04	71.75000	 22.00000
12	05	71.75000	 24.00000
12	06	71.75000	 25.50000
12	07	72.50000	 16.00000
12	08	72.50000	 18.00000
12	09	72.50000	 20.00000
12	10	72.50000	 22.00000
12	11	72.50000	 24.00000
12	12	72.50000	 26.50000
12	13	73.25000	 16.00000
12	14	73.25000	 18.00000
12	15	73.25000	 20.00000
12	16	73.25000	 22.00000
12	17	73.25000	 24.00000
12	18	73.25000	 26.50000
12	19	73.25000	 29.00000
12	20	72.50000	 29.00000
12		72.55357	 22.10714
13	02	72.50000	 31.00000
13	03	72.50000	 33.00000
13	04	72.50000	 35.00000
13	05	72.50000	 37.00000
13	06	72.50000	 39.00000
13	08	73.50000	 31.00000
13	09	73.50000	 33.00000
13	10	73.50000	 35.00000
13	11	73.50000	 37.00000
13	12	73.50000	 39.00000
13		73.00000	 35.00000
14	01	72.50000	 41.00000
14	02	72.50000	 43.00000
14	03	72.50000	 45.00000
14	04	72.50000	 47.00000
14	05	72.50000	 49.00000
14	06	72.50000	 51.00000
14	07	73.50000	 41.00000
14	08	73.50000	 43.00000
14	09	73.50000	 45.00000
14	10	73.50000	 47.00000
14	11	73.50000	 49.00000
14	12	73.50000	 51.00000
14	13	73.50000	 53.00000
14	14	73.50000	 55.00000
14	15	72.50000	 53.00000
14		73.03333	 47.53333
15	02	74.50000	 31.00000
15	03	74.50000	 33.00000
15	04	74.50000	 35.00000
15	05	74.50000	 37.00000
15	06	74.50000	 39.00000
15	08	75.50000	 31.00000
15	09	75.50000	 33.00000
15	10	75.50000	 35.00000
15	11	75.50000	 37.00000
15	12	75.50000	 39.00000
15		75.00000	 35.00000
16	01	74.50000	 41.00000
16	02	74.50000	 43.00000
16	03	74.50000	 45.00000
16	04	74.50000	 47.00000
16	05	74.50000	 49.00000
16	06	74.50000	 51.00000
16	07	74.50000	 53.00000
16	08	75.50000	 41.00000
16	09	75.50000	 43.00000
16	10	75.50000	 45.00000
16	11	75.50000	 47.00000
16	12	75.50000	 49.00000
16	13	75.50000	 51.00000
16	14	75.50000	 53.00000
16	15	75.50000	 55.00000
16	16	75.50000	 57.00000
16	17	75.50000	 59.00000
16	19	74.50000	 57.00000
16	20	74.50000	 55.00000
16		75.02632	 49.52632
17	01	76.50000	 41.00000
17	02	76.50000	 43.00000
17	03	76.50000	 45.00000
17	04	76.50000	 47.00000
17	05	76.50000	 49.00000
17	06	76.50000	 50.50000
17	08	77.50000	 41.00000
17	09	77.50000	 43.00000
17	10	77.50000	 45.00000
17	11	77.50000	 47.00000
